Phase 1: Comprehensive Shielding Master Data
Photons Fired per run: 10000000 | Total Runs: 930
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
356             | BaSO4_5Wt       | 8               | 10000000   | 8889635    | 0.888964        | 0.00029815
356             | BaSO4_5Wt       | 10              | 10000000   | 8632335    | 0.863233        | 0.00029381
356             | BaSO4_10Wt      | 2               | 10000000   | 9695899    | 0.96959         | 0.00031138
356             | BaSO4_10Wt      | 4               | 10000000   | 9400658    | 0.940066        | 0.00030660
356             | BaSO4_10Wt      | 6               | 10000000   | 9114599    | 0.91146         | 0.00030190
356             | BaSO4_10Wt      | 8               | 10000000   | 8838380    | 0.883838        | 0.00029729
356             | BaSO4_10Wt      | 10              | 10000000   | 8570180    | 0.857018        | 0.00029275
356             | BaSO4_15Wt      | 2               | 10000000   | 9680743    | 0.968074        | 0.00031114
356             | BaSO4_15Wt      | 4               | 10000000   | 9371327    | 0.937133        | 0.00030613
356             | BaSO4_15Wt      | 6               | 10000000   | 9071808    | 0.907181        | 0.00030119
356             | BaSO4_15Wt      | 8               | 10000000   | 8783259    | 0.878326        | 0.00029637
356             | BaSO4_15Wt      | 10              | 10000000   | 8502955    | 0.850295        | 0.00029160
356             | BaSO4_20Wt      | 2               | 10000000   | 9664097    | 0.96641         | 0.00031087
356             | BaSO4_20Wt      | 4               | 10000000   | 9339827    | 0.933983        | 0.00030561
356             | BaSO4_20Wt      | 6               | 10000000   | 9025602    | 0.90256         | 0.00030043
356             | BaSO4_20Wt      | 8               | 10000000   | 8724034    | 0.872403        | 0.00029536
356             | BaSO4_20Wt      | 10              | 10000000   | 8431627    | 0.843163        | 0.00029037
356             | BaSO4_25Wt      | 2               | 10000000   | 9646218    | 0.964622        | 0.00031058
356             | BaSO4_25Wt      | 4               | 10000000   | 9305620    | 0.930562        | 0.00030505
356             | BaSO4_25Wt      | 6               | 10000000   | 8975802    | 0.89758         | 0.00029960
356             | BaSO4_25Wt      | 8               | 10000000   | 8659826    | 0.865983        | 0.00029428
356             | BaSO4_25Wt      | 10              | 10000000   | 8354499    | 0.83545         | 0.00028904
356             | BaSO4_30Wt      | 2               | 10000000   | 9627032    | 0.962703        | 0.00031027
356             | BaSO4_30Wt      | 4               | 10000000   | 9268548    | 0.926855        | 0.00030444
356             | BaSO4_30Wt      | 6               | 10000000   | 8922466    | 0.892247        | 0.00029870
356             | BaSO4_30Wt      | 8               | 10000000   | 8591057    | 0.859106        | 0.00029311
356             | BaSO4_30Wt      | 10              | 10000000   | 8271635    | 0.827164        | 0.00028760
356             | W_5Wt           | 2               | 10000000   | 9692007    | 0.969201        | 0.00031132
356             | W_5Wt           | 4               | 10000000   | 9392883    | 0.939288        | 0.00030648
356             | W_5Wt           | 6               | 10000000   | 9103203    | 0.91032         | 0.00030172
356             | W_5Wt           | 8               | 10000000   | 8823334    | 0.882333        | 0.00029704
356             | W_5Wt           | 10              | 10000000   | 8551829    | 0.855183        | 0.00029244
356             | W_10Wt          | 2               | 10000000   | 9657418    | 0.965742        | 0.00031076
356             | W_10Wt          | 4               | 10000000   | 9326088    | 0.932609        | 0.00030539
356             | W_10Wt          | 6               | 10000000   | 9006388    | 0.900639        | 0.00030011
356             | W_10Wt          | 8               | 10000000   | 8699238    | 0.869924        | 0.00029494
356             | W_10Wt          | 10              | 10000000   | 8401521    | 0.840152        | 0.00028985
356             | W_15Wt          | 2               | 10000000   | 9619174    | 0.961917        | 0.00031015
356             | W_15Wt          | 4               | 10000000   | 9253473    | 0.925347        | 0.00030420
356             | W_15Wt          | 6               | 10000000   | 8900875    | 0.890088        | 0.00029834
356             | W_15Wt          | 8               | 10000000   | 8563376    | 0.856338        | 0.00029263
356             | W_15Wt          | 10              | 10000000   | 8238180    | 0.823818        | 0.00028702
356             | W_20Wt          | 2               | 10000000   | 9576963    | 0.957696        | 0.00030947
356             | W_20Wt          | 4               | 10000000   | 9172681    | 0.917268        | 0.00030286
356             | W_20Wt          | 6               | 10000000   | 8784445    | 0.878444        | 0.00029639
356             | W_20Wt          | 8               | 10000000   | 8414439    | 0.841444        | 0.00029008
356             | W_20Wt          | 10              | 10000000   | 8059242    | 0.805924        | 0.00028389
356             | W_25Wt          | 2               | 10000000   | 9530101    | 0.95301         | 0.00030871
356             | W_25Wt          | 4               | 10000000   | 9082798    | 0.90828         | 0.00030138
356             | W_25Wt          | 6               | 10000000   | 8656077    | 0.865608        | 0.00029421
356             | W_25Wt          | 8               | 10000000   | 8250406    | 0.825041        | 0.00028724
356             | W_25Wt          | 10              | 10000000   | 7863599    | 0.78636         | 0.00028042
356             | W_30Wt          | 2               | 10000000   | 9477801    | 0.94778         | 0.00030786
356             | W_30Wt          | 4               | 10000000   | 8982615    | 0.898262        | 0.00029971
356             | W_30Wt          | 6               | 10000000   | 8513242    | 0.851324        | 0.00029177
356             | W_30Wt          | 8               | 10000000   | 8069271    | 0.806927        | 0.00028406
356             | W_30Wt          | 10              | 10000000   | 7647897    | 0.76479         | 0.00027655
356             | Bi2O3_5Wt       | 2               | 10000000   | 9687595    | 0.968759        | 0.00031125
356             | Bi2O3_5Wt       | 4               | 10000000   | 9384513    | 0.938451        | 0.00030634
356             | Bi2O3_5Wt       | 6               | 10000000   | 9090812    | 0.909081        | 0.00030151
356             | Bi2O3_5Wt       | 8               | 10000000   | 8807491    | 0.880749        | 0.00029677
356             | Bi2O3_5Wt       | 10              | 10000000   | 8532679    | 0.853268        | 0.00029211
356             | Bi2O3_10Wt      | 2               | 10000000   | 9648654    | 0.964865        | 0.00031062
356             | Bi2O3_10Wt      | 4               | 10000000   | 9309402    | 0.93094         | 0.00030511
356             | Bi2O3_10Wt      | 6               | 10000000   | 8982525    | 0.898253        | 0.00029971
356             | Bi2O3_10Wt      | 8               | 10000000   | 8667630    | 0.866763        | 0.00029441
356             | Bi2O3_10Wt      | 10              | 10000000   | 8363597    | 0.83636         | 0.00028920
356             | Bi2O3_15Wt      | 2               | 10000000   | 9605919    | 0.960592        | 0.00030993
356             | Bi2O3_15Wt      | 4               | 10000000   | 9228259    | 0.922826        | 0.00030378
356             | Bi2O3_15Wt      | 6               | 10000000   | 8864290    | 0.886429        | 0.00029773
356             | Bi2O3_15Wt      | 8               | 10000000   | 8516458    | 0.851646        | 0.00029183
356             | Bi2O3_15Wt      | 10              | 10000000   | 8182005    | 0.8182          | 0.00028604
356             | Bi2O3_20Wt      | 2               | 10000000   | 9559485    | 0.955948        | 0.00030918
356             | Bi2O3_20Wt      | 4               | 10000000   | 9138889    | 0.913889        | 0.00030231
356             | Bi2O3_20Wt      | 6               | 10000000   | 8736119    | 0.873612        | 0.00029557
356             | Bi2O3_20Wt      | 8               | 10000000   | 8353272    | 0.835327        | 0.00028902
356             | Bi2O3_20Wt      | 10              | 10000000   | 7986218    | 0.798622        | 0.00028260
356             | Bi2O3_25Wt      | 2               | 10000000   | 9508663    | 0.950866        | 0.00030836
356             | Bi2O3_25Wt      | 4               | 10000000   | 9041459    | 0.904146        | 0.00030069
356             | Bi2O3_25Wt      | 6               | 10000000   | 8596638    | 0.859664        | 0.00029320
356             | Bi2O3_25Wt      | 8               | 10000000   | 8175526    | 0.817553        | 0.00028593
356             | Bi2O3_25Wt      | 10              | 10000000   | 7773927    | 0.777393        | 0.00027882
356             | Bi2O3_30Wt      | 2               | 10000000   | 9452007    | 0.945201        | 0.00030744
356             | Bi2O3_30Wt      | 4               | 10000000   | 8933765    | 0.893377        | 0.00029889
356             | Bi2O3_30Wt      | 6               | 10000000   | 8444349    | 0.844435        | 0.00029059
356             | Bi2O3_30Wt      | 8               | 10000000   | 7982152    | 0.798215        | 0.00028253
356             | Bi2O3_30Wt      | 10              | 10000000   | 7545236    | 0.754524        | 0.00027469
356             | Ti3C2O2_5Wt     | 2               | 10000000   | 9713316    | 0.971332        | 0.00031166
356             | Ti3C2O2_5Wt     | 4               | 10000000   | 9434503    | 0.94345         | 0.00030716
356             | Ti3C2O2_5Wt     | 6               | 10000000   | 9163871    | 0.916387        | 0.00030272
356             | Ti3C2O2_5Wt     | 8               | 10000000   | 8902098    | 0.89021         | 0.00029836
356             | Ti3C2O2_5Wt     | 10              | 10000000   | 8647506    | 0.864751        | 0.00029407
356             | Ti3C2O2_10Wt    | 2               | 10000000   | 9702649    | 0.970265        | 0.00031149
356             | Ti3C2O2_10Wt    | 4               | 10000000   | 9414098    | 0.94141         | 0.00030682
356             | Ti3C2O2_10Wt    | 6               | 10000000   | 9134034    | 0.913403        | 0.00030223
356             | Ti3C2O2_10Wt    | 8               | 10000000   | 8863947    | 0.886395        | 0.00029772
356             | Ti3C2O2_10Wt    | 10              | 10000000   | 8601029    | 0.860103        | 0.00029328
356             | Ti3C2O2_15Wt    | 2               | 10000000   | 9691254    | 0.969125        | 0.00031131
356             | Ti3C2O2_15Wt    | 4               | 10000000   | 9392168    | 0.939217        | 0.00030647
356             | Ti3C2O2_15Wt    | 6               | 10000000   | 9102068    | 0.910207        | 0.00030170
356             | Ti3C2O2_15Wt    | 8               | 10000000   | 8822735    | 0.882274        | 0.00029703
356             | Ti3C2O2_15Wt    | 10              | 10000000   | 8551307    | 0.855131        | 0.00029243
